"GEO_ID","NAME","P001001","P001002","P001003","P001004","P001005","P001006","P001007","P001008","P001009","P001010","P001011","P001012","P001013","P001014","P001015","P001016","P001017","P001018","P001019","P001020","P001021","P001022","P001023","P001024","P001025","P001026","P001027","P001028","P001029","P001030","P001031","P001032","P001033","P001034","P001035","P001036","P001037","P001038","P001039","P001040","P001041","P001042","P001043","P001044","P001045","P001046","P001047","P001048","P001049","P001050","P001051","P001052","P001053","P001054","P001055","P001056","P001057","P001058","P001059","P001060","P001061","P001062","P001063","P001064","P001065","P001066","P001067","P001068","P001069","P001070","P001071",
"1600000US5327435","Goldendale city, Washington","3407","3319","3009","12","138","16","5","139","88","85","7","30","12","4","23","1","0","0","3","0","1","4","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1600000US5327680","Gorst CDP, Washington","592","558","496","1","10","15","4","32","34","31","1","22","5","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5327785","Graham CDP, Washington","23491","22001","19399","942","280","668","281","431","1490","1311","251","295","417","65","135","14","40","8","10","15","1","4","47","7","2","156","26","24","10","2","24","2","5","39","17","0","3","0","0","2","2","0","0","0","0","0","23","9","1","4","2","3","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5327855","Grand Coulee city, Washington","988","950","756","11","140","8","0","35","38","38","3","24","2","1","6","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5327890","Grand Mound CDP, Washington","2981","2809","2438","21","63","33","6","248","172","153","20","48","22","9","41","6","1","0","0","2","0","0","3","1","0","16","3","2","0","1","0","2","3","3","2","0","0","0","0","0","0","0","0","0","0","0","3","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5327925","Grandview city, Washington","10862","10424","5995","93","63","51","6","4216","438","427","18","48","14","0","295","6","0","0","11","0","0","11","0","21","3","11","5","0","0","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5327960","Granger city, Washington","3246","3183","1577","14","54","15","0","1523","63","63","3","17","5","0","33","0","0","0","0","0","0","1","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5327995","Granite Falls city, Washington","3364","3179","2946","25","42","49","10","107","185","167","37","69","35","5","17","1","0","0","0","0","1","0","1","1","0","18","7","0","0","0","3","2","1","0","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5328135","Grapeview CDP, Washington","954","916","891","2","1","15","2","5","38","33","2","13","9","2","6","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5328345","Grayland CDP, Washington","953","926","871","3","28","11","0","13","27","27","0","16","2","1","2","0","0","0","0","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5328450","Grays River CDP, Washington","263","257","248","1","1","3","0","4","6","6","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5328590","Green Bluff CDP, Washington","761","747","732","0","6","5","0","4","14","14","1","2","9","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5328695","Greenwater CDP, Washington","67","67","65","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5329255","Hamilton town, Washington","301","289","272","0","6","0","0","11","12","12","0","11","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5329430","Hansville CDP, Washington","3091","2999","2867","14","52","44","4","18","92","82","6","50","20","1","1","0","1","0","0","0","1","0","0","2","0","10","2","1","0","0","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5329710","Harrah town, Washington","625","593","154","3","133","1","0","302","32","31","0","16","3","0","8","1","0","0","0","2","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5329745","Harrington city, Washington","424","415","393","4","15","0","0","3","9","9","1","4","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5329920","Hartline town, Washington","151","147","137","1","0","2","0","7","4","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5330030","Hat Island CDP, Washington","41","41","40","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5330060","Hatton town, Washington","101","93","52","0","5","0","0","36","8","8","0","1","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5330305","Hazel Dell CDP, Washington","19435","18574","15945","518","156","720","131","1104","861","781","209","204","140","36","120","15","2","1","10","7","1","5","15","4","12","76","27","6","0","2","6","1","2","24","1","2","0","0","1","0","0","0","2","0","0","2","3","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1600000US5330690","Herron Island CDP, Washington","151","147","142","0","2","3","0","0","4","4","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5330750","High Bridge CDP, Washington","2994","2909","2758","20","14","55","3","59","85","79","3","20","45","2","2","0","3","1","0","0","0","0","3","0","0","6","0","1","2","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5331495","Hobart CDP, Washington","6221","6016","5707","76","38","130","4","61","205","195","25","49","68","12","34","3","1","0","0","1","0","0","2","0","0","8","1","0","0","0","1","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1600000US5331530","Hockinson CDP, Washington","4771","4671","4520","20","32","55","4","40","100","93","8","46","29","4","2","0","2","0","0","0","0","1","1","0","0","7","2","2","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5331540","Hogans Corner CDP, Washington","85","82","75","0","4","0","0","3","3","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5331985","Home CDP, Washington","1377","1312","1259","4","18","12","9","10","65","60","19","30","7","0","1","0","0","0","0","2","0","0","0","1","0","3","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5332125","Hoodsport CDP, Washington","376","363","338","0","10","3","5","7","13","11","4","6","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5332300","Hoquiam city, Washington","8726","8358","7460","74","342","98","15","369","368","337","34","185","43","8","42","3","0","0","0","4","4","12","2","0","0","29","4","0","0","0","12","0","0","12","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5332650","Humptulips CDP, Washington","255","238","163","0","4","0","0","71","17","17","0","7","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5332755","Hunts Point town, Washington","394","366","316","5","2","43","0","0","28","28","2","1","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5333000","Ilwaco city, Washington","936","903","841","3","20","5","0","34","33","32","2","19","8","0","2","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5333105","Inchelium CDP, Washington","409","386","58","0","321","0","1","6","23","23","0","15","0","0","3","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5333175","Index town, Washington","178","175","170","0","0","3","1","1","3","3","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5333280","Indianola CDP, Washington","3500","3290","3049","26","142","44","9","20","210","184","11","96","41","8","19","0","2","0","0","2","2","0","2","1","0","26","2","3","0","0","10","1","4","1","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5333380","Inglewood-Finn Hill CDP, Washington","22707","21679","18635","378","104","1994","45","523","1028","913","150","110","416","28","111","5","17","1","7","5","1","8","22","31","1","100","25","5","0","4","16","0","5","35","8","0","0","0","0","0","0","0","0","0","0","2","9","2","0","1","0","4","0","1","1","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0",
"1600000US5333560","Ione town, Washington","447","442","438","0","2","1","0","1","5","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5333805","Issaquah city, Washington","30434","29190","22736","422","115","5322","36","559","1244","1116","145","156","589","38","93","5","14","1","2","11","0","7","22","33","0","118","16","5","3","2","28","2","6","31","10","7","1","0","0","1","3","0","3","0","0","0","9","3","0","0","1","0","0","5","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1600000US5333890","Jamestown CDP, Washington","361","344","297","2","41","3","0","1","17","13","0","7","4","0","1","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5334470","Junction City CDP, Washington","18","18","6","4","0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5334575","Kahlotus city, Washington","193","189","175","1","1","5","0","7","4","4","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5334645","Kalama city, Washington","2344","2257","2139","14","31","28","3","42","87","76","3","41","9","2","21","0","0","0","0","0","0","0","0","0","0","11","7","0","0","0","1","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
