STATEFP,GEOID,NAMELSAD,ALAND,AWATER,sum
30,3001675,Anaconda-Deer Lodge County,1907998860,12199890,422763.0
02,0236400,Juneau city and borough,7003406836,1426230792,1762959.0
02,0270540,Sitka city and borough,7433415763,5037747536,186981.0
02,0286380,Wrangell city and borough,6619997018,2384375227,135493.0
02,0203000,Anchorage municipality,4420591349,621302197,3.4753712E7
49,4947290,Magna metro township,39125264,57944495,1364257.2588235294
49,4922875,Emigration Canyon metro township,47187917,0,0.0
49,4984050,White City metro township,2256665,0,91365.54117647061
49,4915720,Copperton metro township,807087,0,0.8235294117647058
49,4940470,Kearns metro township,11993405,0,1780436.5960784312
22,2218125,Covington city,20771074,345443,2220247.8235294125
22,2248225,Mandeville city,18444828,423172,2277169.564705882
22,2218650,Crowley city,15154654,1397,3021815.4039215674
22,2205000,Baton Rouge city,223557844,5708637,7.411097220784315E7
22,2253545,Natchitoches city,58765044,9308983,4108793.780392155
22,2210950,Bunkie city,7827181,39783,462948.6156862745
22,2261615,Ponchatoula city,12256259,10687,804730.0392156863
22,2248750,Marksville city,12466681,34862,380545.17254901957
22,2200975,Alexandria city,73790296,1788418,1.2302558890196078E7
22,2260530,Pineville city,32635245,1357876,1751967.094117647
22,2209340,Breaux Bridge city,19983443,462775,1026757.0
22,2267600,St. Martinville city,7903789,277271,207091.76862745092
22,2243010,Leesville city,19822518,337144,1098800.7333333334
22,2200100,Abbeville city,15660962,83689,1028355.4509803922
22,2250885,Minden city,38946147,439466,2908230.5490196072
22,2263645,Rayne city,9821507,17505,773405.8
22,2270000,Shreveport city,279195930,40270180,4.967232336078433E7
22,2278715,Ville Platte city,10403641,1289,451821.36862745095
22,2229850,Gonzales city,23676763,278961,2804511.262745098
22,2221240,Donaldsonville city,9784790,60015,372947.0
22,2220610,DeRidder city,24062013,228174,1541421.3607843136
22,2261790,Port Allen city,7342523,1276650,1310864.9294117652
22,2283405,Zachary city,67705732,87474,837597.3019607845
22,2210075,Broussard city,46332274,101499,7494591.062745095
22,2240735,Lafayette city,144582240,203100,3.110261078431372E7
22,2272485,Springhill city,16092285,206901,438103.5450980392
22,2266655,Ruston city,54750521,175428,5211443.274509805
22,2251410,Monroe city,76804875,8423374,1.771361346666667E7
22,2280955,West Monroe city,20787020,743977,6580511.243137254
22,2248365,Mansfield city,9459600,19783,338303.0
22,2220435,Denham Springs city,18887710,157595,2250482.3882352947
22,2282495,Winnsboro city,10354904,160383,1288360.5098039214
22,2232755,Hammond city,36355203,9581,8480895.8627451
22,2267250,St. Gabriel city,76811029,579738,9390967.2627451
22,2254035,New Iberia city,28853949,292522,9558461.196078429
22,2258045,Opelousas city,25034040,8028,3098159.3137254906
22,2252040,Morgan City city,15498740,689895,6195344.250980391
22,2213960,Central city,161244698,708155,420163.0
22,2230515,Grambling city,15287902,56873,1143752.0588235294
22,2208920,Bossier City city,113438592,3325431,1.404319765490196E7
22,2238075,Jeanerette city,5978221,139866,126177.36078431373
22,2227155,Franklin city,25696620,1476965,533534.7686274508
22,2260880,Plaquemine city,7570546,214131,273080.7686274509
22,2241155,Lake Charles city,118232073,7281617,1.7360794160784315E7
22,2231915,Gretna city,10451944,1191856,2367861.6941176467
22,2232930,Harahan city,5227222,1234216,299288.16470588243
22,2239475,Kenner city,38541001,600053,1.3556219345098037E7
22,2238355,Jennings city,26947663,47011,1330866.7999999998
22,2281165,Westwego city,8070430,1241824,1160365.8509803922
22,2256540,Oakdale city,13447472,161064,429522.4078431373
22,2273640,Sulphur city,29056325,42041,4667854.992156865
27,2740418,Marble city,11141200,261986,4481.0
27,2744980,Nashwauk city,38358155,1808559,52130.0
27,2709316,Calumet city,4662402,198134,1213.0
27,2702872,Aurora city,9577360,557322,87528.03921568628
28,2864200,Ruleville city,6522346,21825,78545.0
28,2849320,Mound Bayou city,2270503,1086,60250.05882352941
28,2863720,Rosedale city,14024179,161250,55594.0
28,2867040,Shelby city,7073122,27405,59029.0
28,2836000,Jackson city,289342143,5532980,3.2680452098039214E7
28,2862520,Ridgeland city,55390227,4587733,4961237.596078434
28,2844520,Madison city,65394922,3059241,1492161.443137255
28,2812900,Charleston city,3509615,9391,88474.5843137255
28,2855760,Pearl city,66008538,321286,5255899.819607843
28,2862400,Richland city,32439577,168591,5662186.952941176
28,2876720,Vicksburg city,85503989,5386389,9712830.298039217
28,2840600,Lexington city,6261178,9785,24353.07843137255
28,2834740,Indianola city,22198456,225273,1269660.478431373
28,2814420,Clinton city,108438662,712244,1972106.2980392156
28,2808820,Brookhaven city,56053194,229104,4350134.533333333
28,2881520,Yazoo City city,26118466,322667,1231645.3254901958
28,2811100,Canton city,55133669,739030,992395.325490196
28,2813820,Clarksdale city,48657492,17529,2944938.6470588236
28,2808300,Brandon city,66468051,234476,2586942.9803921566
28,2817060,Crystal Springs city,14061772,136711,308350.8352941176
28,2831220,Hazlehurst city,11474844,116967,269751.1215686274
28,2829180,Greenville city,69656569,2002716,5876932.678431371
28,2840280,Leland city,9280974,130595,217164.6431372549
28,2843280,McComb city,30510048,154492,3031306.9215686275
28,2844680,Magnolia city,15909646,117173,926652.3882352943
28,2825100,Flowood city,74587182,1033142,5166079.156862746
28,2835260,Itta Bena city,3654131,115789,19988.34117647059
28,2829340,Greenwood city,31947513,922978,4444353.909803921
28,2810140,Byram city,47561697,688657,665453.68627451
28,2850440,Natchez city,40961580,1527127,1955350.556862745
29,2923266,Fairfax city,1205634,14911,10101.0
30,3067450,Shelby city,14974418,453079,468867.43529411766
30,3067900,Sidney city,8508776,49128,482922.831372549
30,3008950,Bozeman city,53350021,128022,7079420.380392158
30,3073975,Three Forks city,3709633,148667,229773.74901960784
30,3042700,Laurel city,5626414,4019,1215882.1490196078
30,3050200,Missoula city,89346378,491344,1.5537402305882346E7
30,3016600,Columbia Falls city,5694415,8162,1011062.0431372549
30,3049525,Miles City city,8707066,14553,1033103.1843137257
30,3016525,Colstrip city,10478036,16125,143077.49019607843
30,3033775,Hamilton city,6278132,92799,822573.8941176472
30,3035600,Helena city,43565749,98206,9046186.588235294
30,3058750,Polson city,11759189,437266,488234.46274509816
30,3018775,Cut Bank city,2995869,10561,516092.8666666667
30,3040075,Kalispell city,32183656,219526,4271155.545098039
30,3079825,Whitefish city,18106404,13911778,309443.19215686276
30,3043975,Livingston city,14610036,138920,790468.0078431373
30,3032800,Great Falls city,59578859,1236484,8661420.156862747
30,3031450,Glendive city,8997360,62705,560834.8117647058
30,3064525,Roundup city,3349364,571,96765.49019607843
30,3027700,Forsyth city,2982725,46254,237475.6117647059
30,3064150,Ronan city,3117406,737,189884.49019607846
30,3003475,Baker city,2925500,258085,33334.69019607842
30,3035050,Havre city,9606256,1241,446381.0862745098
30,3043450,Libby city,4770965,90891,184167.50588235294
30,3075025,Troy city,2192163,11867,0.0
30,3023125,East Helena city,10406897,173836,190233.2588235294
30,3006550,Billings city,115982241,277939,3.0027289266666662E7
31,3122080,Henderson city,1655840,3132,144220.27843137254
31,3102305,Ashland city,3680079,67712,231438.21568627452
31,3137595,Osmond city,2063586,8793,11276.0
31,3125055,Kearney city,37653029,716147,5915178.447058822
31,3151840,Wayne city,7282449,114652,977683.1607843137
31,3137280,Ord city,5441498,1395,1416441.1686274512
31,3105630,Blue Springs city,1985909,48674,0.0
31,3153835,Wymore city,4848190,78725,83482.46274509805
31,3123025,Hooper city,1746193,31602,71908.41176470587
31,3140710,Ravenna city,4300823,13898,87116.2274509804
31,3137525,Osceola city,2387890,304,281377.12941176473
31,3147465,Stromsburg city,2653850,3405,231630.6666666667
31,3100905,Alliance city,12906980,31691,2944134.215686274
31,3102690,Aurora city,8391461,20355,562909.7333333333
31,3104405,Bennington city,2311662,33090,134116.09019607844
31,3123690,Imperial city,7834700,13555,292431.4274509804
31,3140605,Ralston city,4232125,5247,1447978.078431373
31,3150020,Valley city,12319680,3107189,2786239.5843137247
31,3132060,Milford city,2105419,20572,302502.8941176471
31,3103950,Bellevue city,54725227,590079,8466521.02745098
31,3126385,La Vista city,14007328,5427,4920334.870588236
31,3123480,Humphrey city,1283337,11500,78259.83137254903
31,3135000,North Platte city,35018650,484894,4355959.082352941
31,3129855,Lyons city,1768206,20660,97481.68627450979
31,3106295,Bridgeport city,2972626,7047,428742.9137254901
31,3151070,Wakefield city,2751613,182706,200948.93333333335
31,3148585,Terrytown city,1224667,90919,110270.15294117646
31,3138295,Papillion city,29878814,702012,4559937.325490197
31,3122640,Holdrege city,10951898,36417,2026362.7960784312
32,3268400,Sparks city,94371261,289555,3.8320454039215654E7
32,3224900,Fernley city,314187477,17443735,1836357.7803921567
32,3206500,Boulder City city,539404139,83408,860832.5411764706
32,3251800,North Las Vegas city,262323395,112001,4.664302667058823E7
32,3283730,West Wendover city,19367712,1751,46144.16470588235
32,3246000,Mesquite city,82267298,1204149,909801.419607843
32,3231900,Henderson city,275143250,1272345,4.036675574509804E7
32,3240000,Las Vegas city,367325845,138524,8.876973358431374E7
32,3260600,Reno city,281716689,7338575,7.118857416470584E7
19,1911215,Carter Lake city,4647504,578200,1564803.478431373
19,1917175,Crescent city,2504907,9252,498.0
19,1952590,Minden city,1467848,13322,19945.23137254902
19,1955560,Neola city,1641855,9378,102514.0
19,1958080,Oakland city,4639984,254792,190587.70588235292
19,1903025,Arnolds Park city,4131645,499482,11452.160784313726
19,1942600,Lake Park city,4086476,184475,268460.6235294118
19,1979500,Underwood city,2820898,65311,231928.10980392157
19,1958710,Okoboji city,4550657,12936,70994.30588235296
19,1959655,Orleans city,2917979,1013,0.0
19,1981615,Wahpeton city,3103512,63595,2272.0156862745093
19,1984450,West Okoboji city,3248765,317159,26872.576470588236
19,1944400,Le Mars city,22110574,22701,3722696.0
19,1903520,Atlantic city,21483224,113854,1235293.717647059
19,1913080,Cherokee city,17498501,62863,885489.9058823531
19,1930225,George city,5940711,12058,126660.0
19,1916860,Council Bluffs city,111271933,7019865,2.454466278431372E7
19,1913575,Clarinda city,13209313,85563,1644083.7843137255
19,1966135,Red Oak city,10167716,146857,1197995.5803921567
19,1945480,Linn Grove city,1445854,66340,0.0
19,1952095,Milford city,5639075,25366,859825.2156862745
19,1964200,Portsmouth city,765024,1208,18997.0
19,1974415,Spirit Lake city,11597778,48884,2036941.3490196078
19,1935265,Hawarden city,7203967,351328,786178.8823529412
19,1950430,Maurice city,1558741,14621,2334.164705882353
19,1968205,Rock Valley city,11552774,135552,1915874.9686274505
19,1971130,Schleswig city,3210135,31306,89878.00784313725
19,1934005,Hancock city,1872285,94783,29923.0
19,1936840,Holstein city,4084470,13675,1054878.211764706
19,1938010,Ida Grove city,5687844,19162,930827.8705882352
19,1922890,Dunlap city,2987556,41813,303168.7019607843
19,1986835,Woodbine city,3461722,131471,294039.8156862745
19,1937200,Hornick city,649562,14729,841.0
19,1970320,Salix city,4398259,33829,5.333333333333333
19,1971625,Sergeant Bluff city,7697434,802,862889.3725490196
19,1968160,Rock Rapids city,10900997,126280,407982.67450980394
19,1903295,Ashton city,2614317,13744,2967.0
19,1942690,Lake View city,5381653,747603,359754.8039215686
19,1912900,Charter Oak city,1329665,23396,16677.0
19,1919945,Denison city,16956210,70871,2154680.1019607843
19,1926175,Everly city,2710798,42626,88592.95686274511
19,1962625,Peterson city,1344655,56497,32117.0
19,1931350,Glenwood city,7569973,29962,496406.56470588234
20,2052275,Ogden city,4333942,147626,3298.0
20,2014700,Coldwater city,6635968,871705,101601.0
20,2054200,Palmer city,799808,6130,8709.0
20,2019125,Dwight city,935242,1284,0.0
20,2054575,Parkerville city,332389,788,0.0
20,2077825,White City city,3216985,14870,11740.0
20,2024175,Fowler city,1227543,1759,14168.0
20,2028850,Gridley city,1108728,159079,14146.588235294117
20,2011425,Cedar Point city,176431,1517,0.0
20,2015900,Cottonwood Falls city,1668225,15662,56476.0
20,2045150,Matfield Green city,367689,2035,0.0
20,2068650,Strong City city,1419866,11507,5567.1098039215685
20,2052700,Olivet city,653556,138,0.0
20,2039125,Lebo city,2479809,227051,57738.82352941177
20,2039650,LeRoy city,2132894,12722,19704.823529411766
20,2076050,Waverly city,1896961,19624,70712.83921568628
20,2051225,North Newton city,2363407,3864,79029.8588235294
20,2001550,Altamont city,4932659,62715,24753.274509803923
20,2071925,Tyro city,1182926,5450,2170.0
20,2074075,Virgil city,1449791,6044,1053.0
20,2009000,Bucklin city,1489942,70012,141296.32156862743
20,2020300,Elk Falls city,1883473,4226,0.0
20,2071975,Ulysses city,8361106,182677,1155317.7058823525
20,2026725,Goddard city,13204119,119464,574189.0784313725
20,2075325,Wamego city,6199952,104949,876219.4784313723
20,2077700,Wheaton city,398973,917,0.0
