,citytype_at_2050,REGION,State_name,CensusPop_20,ssp22050,ssp22100,NAMELSAD,volume_m3_perCap_2020,length_m_perCap_2020,volume_m3_perCap_2050,length_m_perCap_2050,volume_m3_perCap_2100,length_m_perCap_2100
0,periurban,Midwest,17,1473401.0,1619833.012783,1607430.294389,68,827.7151850647224,12.620014837873267,793.9760679524085,11.30178851736773,797.3653676688241,11.070903078241745
1,periurban,Midwest,18,340301.0,416363.57758,480811.57093,12,757.6666303900461,17.649376550203755,702.8376869964014,15.015898892724937,655.1639395055981,13.16652170977597
2,periurban,Midwest,19,157281.0,230265.16972,341814.01642999996,7,770.3731399409082,11.86165261347283,673.9373850123818,8.050280081874412,588.3720311295413,5.492974519117266
3,periurban,Midwest,20,116600.0,136520.74268,152109.07985,6,743.8217664068713,14.90849511762342,703.0733634075402,13.053178101852218,690.9034100846258,12.02657843529794
4,periurban,Midwest,26,132642.0,154272.58383000002,170079.219117,9,858.240124318607,11.49273574896025,808.9761834881203,9.61201085505417,776.8013035060721,8.382415014403835
5,periurban,Midwest,27,730146.0,907908.35661,1070686.51891,30,607.5467201422424,16.356314535972665,573.2740690452765,12.918359265049126,551.4345352781426,11.93478148560359
6,periurban,Midwest,29,767074.0,923419.75053,1006561.5783,24,694.3125366732552,14.773485288028837,640.1739405811658,12.646041215804168,619.188977659711,11.537985132158031
7,periurban,Midwest,31,24159.0,35204.31567,50029.22554,1,924.8377666261676,15.158404828146857,805.4311218049172,10.514543565224937,704.7486307366847,7.464721348704539
8,periurban,Midwest,38,38626.0,73562.24347,147704.7273,1,694.5986705084354,11.937421929834048,549.5169690812111,6.367257227779296,418.4332525351272,3.214907311580739
9,periurban,Midwest,39,1236629.0,1410743.800487,1501126.780344,48,785.6211083306333,12.116789824867514,738.6146669065834,10.633243589830911,747.0009388749489,10.672277939630423
10,periurban,Midwest,46,11048.0,17716.4883,36051.27047,1,624.0435617838733,13.797533949278602,531.7107982282275,8.757733052218718,409.5803783240319,4.397357595053967
11,periurban,Midwest,55,544872.0,636651.12767,707553.098748,28,765.0031847675921,16.889294855032013,773.0163432536889,15.685165608810108,753.3831454489668,13.991431182687698
12,periurban,Northeast,09,270556.0,286173.91104,297635.28384,7,868.1191075050715,9.377700029604055,824.5506928695193,8.66299089906662,794.7326974468521,8.885274743847562
13,periurban,Northeast,23,21982.0,23288.42897,21671.38723,1,463.34984969877326,20.209704496659995,454.5955030724284,19.110483681960435,488.552297050774,20.53650087296469
14,periurban,Northeast,25,803543.0,955086.13851,1065970.84438,30,773.2068887057653,10.235918030848705,716.908606784024,8.246253973217224,683.2872468143544,7.385862215978509
15,periurban,Northeast,33,22879.0,24032.96937,20966.48064,1,469.3767451785997,12.62697114125399,465.5977426225594,12.04183290005587,533.7074572378123,13.803365929936223
16,periurban,Northeast,34,435963.0,495266.39181,539849.621349,25,752.4680169838117,10.274949309788278,717.7677588100953,8.616853748515284,691.9800944971887,7.607065736432814
17,periurban,Northeast,36,712855.0,782108.24135,801010.399678,36,751.3939818314609,10.424979568980305,722.1294677465847,9.54447818693296,722.2028322555368,9.095597848118626
18,periurban,Northeast,42,336549.0,367114.72719,375835.592433,20,782.9849219449891,12.234461395318817,757.8957687416996,11.151030192101615,794.2765503914344,10.579189372847818
19,periurban,South,01,246519.0,292444.19604,316271.98884999997,13,714.421603530207,20.799064808976,653.2341489883862,17.985958683857007,639.7601806091626,16.978765388983664
20,periurban,South,05,197985.0,264313.33018,334835.40236,8,772.7006883057959,16.50340459650648,719.0353953695644,12.800323798807845,690.970482641731,11.180830429711602
21,periurban,South,10,36075.0,41645.299360000005,45267.021550000005,2,545.8944904440267,12.592796717675181,517.0245031470146,10.89793650141414,500.2316109054812,10.021324545449595
22,periurban,South,12,3991567.0,5467729.92805,6813559.578115,128,899.7215121681857,13.38795946036397,806.6199696059841,10.042418875746463,736.4315670038122,8.07398803835773
