,citytype_at_2050,REGION,State_name,CensusPop_20,ssp22050,ssp22100,NAMELSAD,volume_m3_perCap_2020,length_m_perCap_2020,volume_m3_perCap_2050,length_m_perCap_2050,volume_m3_perCap_2100,length_m_perCap_2100
0,periurban,Midwest,17,687826.0,696534.9281252701,635256.09008037,171,787.0576730001878,23.75749315887722,832.0298678676031,23.674137247420244,995.8056685669096,28.05857223218498
1,periurban,Midwest,18,265182.0,279228.97257559,269598.67714806,70,809.9796622228941,22.57163478510835,797.8802489524833,21.78204964047891,825.7080238300271,23.643270978891223
2,periurban,Midwest,19,322215.0,351034.1885879,384982.5093395,73,1041.398680190233,21.645713735652173,1058.3334588791738,21.602857275275923,1092.6139304505964,22.259986367797698
3,periurban,Midwest,20,201146.0,217479.4172752,231889.7714102,41,999.239368660085,26.27488753031505,1012.840548077609,25.18347878980139,1033.64204340096,22.32840674830011
4,periurban,Midwest,26,414228.0,429260.54544797,404039.94897286,122,805.5078768284284,20.017080800692447,843.6472044547376,21.707379620508075,959.9892946644487,25.018704027692205
5,periurban,Midwest,27,419916.0,472106.9532759,497162.90480930003,94,690.7075526479857,22.02069216952618,688.239737057994,20.35990412033197,709.4340405745721,20.734041860407306
6,periurban,Midwest,29,430027.0,461870.42120794,449830.23811468,114,897.498214809008,24.464369274819393,891.3895975180736,22.93213979766734,957.8469868026527,25.490551351659178
7,periurban,Midwest,31,141300.0,158012.07199072,188010.43939041,31,1051.9111810529866,23.024370518305773,1030.0290763891044,21.0474576229282,986.088104331826,17.873293468169045
8,periurban,Midwest,38,31737.0,57807.868195849995,113500.1620604,8,807.2355363778349,25.433522294004828,742.7048297588597,23.175913066689116,643.1079339542682,15.03269396326795
9,periurban,Midwest,39,637338.0,658947.4710069,621364.3341667,196,688.6432425072926,16.969261155499588,704.822400961812,17.83302202695866,800.1291822896499,19.88943096838942
10,periurban,Midwest,46,41851.0,54711.68419879,84814.3724694,12,710.2404445496911,24.12159140817502,651.1903438822347,20.71003492836725,582.27372941078,15.529343955483512
11,periurban,Midwest,55,419523.0,451164.6076026,453055.971337,94,810.9634597031427,22.853635526549766,808.6186972777778,21.981834912719005,842.3381405402292,24.690454244908715
12,periurban,Northeast,09,271001.0,295663.70964868,309103.3459652,93,481.8490580545944,21.103442648844226,495.5692858764854,18.61718195313111,505.63219638393593,18.275185699025364
13,periurban,Northeast,23,124410.0,124549.4424295,116291.8911508,31,636.523019082633,22.483422228378664,635.0340928035348,22.83248667317589,747.2615617435574,25.25302870086961
14,periurban,Northeast,25,255946.0,286019.05886717,298594.7954701,74,643.4906712834527,17.41875882920536,616.7503416868569,15.963121016635302,622.105154925445,16.775663871788687
15,periurban,Northeast,33,58444.0,58959.3342806,52282.113354,16,477.60058184752324,20.98596468855215,502.604082820287,20.42643042237237,601.7317918970746,24.14104279929299
16,periurban,Northeast,34,468571.0,499142.5072285,502984.7852524,122,643.3123907274149,16.157768699531317,643.0787085356039,14.688664148434553,696.8231584360951,14.198357375133995
17,periurban,Northeast,36,761256.0,812284.85494901,806532.58867323,230,567.820288921973,15.043475111392118,580.5168142828873,14.690807247144527,624.6749401388447,15.385480836807687
18,periurban,Northeast,42,928691.0,974234.77657021,975341.21136839,390,599.0766872514077,16.395092979332546,619.8684825876476,15.769758863751491,652.1970779294855,16.68866030855153
19,periurban,Northeast,44,11347.0,11449.9569427,10775.5707126,8,983.3491130554783,39.2598991753995,1054.8528255477688,40.88751820250854,1273.7722958968218,47.68036392011812
20,periurban,Northeast,50,43432.0,42464.6475326,36852.8394154,13,528.5503661705645,23.068677173104376,549.2313725490187,27.06068290299345,672.4704271704051,26.61769542148703
21,periurban,South,01,335261.0,345914.7999899,329630.4911894,79,661.2978334790639,37.83366548389551,686.1935572428797,36.19021758431256,706.268565899755,42.013699723560784
22,periurban,South,05,277166.0,308549.2627271,340426.5106851,61,785.4747871287819,26.416434080065343,776.3260729716126,25.994987274209063,805.3453769871021,26.158920292712224
23,periurban,South,10,59162.0,74475.4409712,85281.7939618,22,803.6943956309744,17.887667409559022,750.0392765857565,14.315910518810455,720.0672403566502,13.119228017603733
24,periurban,South,12,678551.0,866116.68044879,1011549.14607128,173,942.9063815723674,23.88886399252305,876.0858947336721,18.960868556010396,837.5109267600895,16.224117239515348
25,periurban,South,13,334016.0,366530.4338483,376365.2300684,89,693.0328007358553,27.992714814660637,681.8330977639777,28.39964684673173,703.4169456135199,27.532220890880115
26,periurban,South,21,199146.0,217727.1929537,224971.42074567,66,837.2913113877576,23.617756840439192,830.2845574289481,23.643802958143162,922.313402090137,27.276863143336772
27,periurban,South,22,344949.0,391361.9558537,419191.6273532,101,759.6343179187841,24.760648310064937,746.4067156939694,23.129255980443048,810.513879333945,24.862556819080204
28,periurban,South,24,447871.0,533819.79167261,603704.6622064901,109,570.8084198385237,13.255326069832876,561.5541864362409,11.64504792299254,545.2936970449377,10.846167509246213
