STATEFP,GEOID,NAMELSAD,ALAND,AWATER,sum
30,3001675,Anaconda-Deer Lodge County,1907998860,12199890,7628743.376470589
02,0236400,Juneau city and borough,7003406836,1426230792,1.4095559E7
02,0270540,Sitka city and borough,7433415763,5037747536,1006256.0
02,0286380,Wrangell city and borough,6619997018,2384375227,476287.0
02,0203000,Anchorage municipality,4420591349,621302197,1.5033391557647058E8
49,4947290,Magna metro township,39125264,57944495,1.6378386976470582E7
49,4922875,Emigration Canyon metro township,47187917,0,428985.17647058814
49,4984050,White City metro township,2256665,0,4548183.596078431
49,4915720,Copperton metro township,807087,0,227449.28235294117
49,4940470,Kearns metro township,11993405,0,1.9646897505882356E7
22,2218125,Covington city,20771074,345443,9459599.090196075
22,2248225,Mandeville city,18444828,423172,1.1814562117647061E7
22,2218650,Crowley city,15154654,1397,1.9080188498039216E7
22,2205000,Baton Rouge city,223557844,5708637,2.5906511103137276E8
22,2253545,Natchitoches city,58765044,9308983,1.6002729925490191E7
22,2210950,Bunkie city,7827181,39783,4921860.91372549
22,2261615,Ponchatoula city,12256259,10687,4744092.137254901
22,2248750,Marksville city,12466681,34862,4309182.4666666705
22,2200975,Alexandria city,73790296,1788418,5.8394339372549064E7
22,2260530,Pineville city,32635245,1357876,1.0257502999999994E7
22,2209340,Breaux Bridge city,19983443,462775,7837916.294117648
22,2267600,St. Martinville city,7903789,277271,5187263.164705885
22,2243010,Leesville city,19822518,337144,6797765.858823531
22,2200100,Abbeville city,15660962,83689,1.393268193333333E7
22,2250885,Minden city,38946147,439466,1.351482135294118E7
22,2263645,Rayne city,9821507,17505,1.1026359450980391E7
22,2270000,Shreveport city,279195930,40270180,2.1956465323921555E8
22,2278715,Ville Platte city,10403641,1289,8226250.5686274525
22,2229850,Gonzales city,23676763,278961,1.1582798227450984E7
22,2221240,Donaldsonville city,9784790,60015,5749521.525490197
22,2220610,DeRidder city,24062013,228174,8555555.556862744
22,2261790,Port Allen city,7342523,1276650,7187938.439215684
22,2283405,Zachary city,67705732,87474,9214363.290196083
22,2210075,Broussard city,46332274,101499,1.5010243007843144E7
22,2240735,Lafayette city,144582240,203100,1.475124275960786E8
22,2272485,Springhill city,16092285,206901,3871089.0470588244
22,2266655,Ruston city,54750521,175428,1.8856020000000007E7
22,2251410,Monroe city,76804875,8423374,6.857441536862753E7
22,2280955,West Monroe city,20787020,743977,2.4944817313725512E7
22,2248365,Mansfield city,9459600,19783,3222538.8980392166
22,2220435,Denham Springs city,18887710,157595,8402747.219607845
22,2282495,Winnsboro city,10354904,160383,5326187.874509809
22,2232755,Hammond city,36355203,9581,2.0454378415686306E7
22,2267250,St. Gabriel city,76811029,579738,1.4176310972549021E7
22,2254035,New Iberia city,28853949,292522,3.7950557682352886E7
22,2258045,Opelousas city,25034040,8028,2.0564159196078427E7
22,2252040,Morgan City city,15498740,689895,1.9524063058823522E7
22,2213960,Central city,161244698,708155,1.4708704768627452E7
22,2230515,Grambling city,15287902,56873,2333578.9411764713
22,2208920,Bossier City city,113438592,3325431,6.215926684705889E7
22,2238075,Jeanerette city,5978221,139866,4528321.749019608
22,2227155,Franklin city,25696620,1476965,8116421.32156863
22,2260880,Plaquemine city,7570546,214131,6420180.0392156895
22,2241155,Lake Charles city,118232073,7281617,9.034041029019602E7
22,2231915,Gretna city,10451944,1191856,1.883729894117647E7
